,date,times,end,vols
2024,20210107,1125,83600,99667
2025,20210107,1130,83600,100071
2026,20210107,1135,83700,124415
2027,20210107,1140,83600,115922
2028,20210107,1145,83700,111840
2029,20210107,1150,83600,330831
2030,20210107,1155,83700,266864
2031,20210107,1200,83600,221446
2032,20210107,1205,83600,227268
2033,20210107,1210,83600,71473
2034,20210107,1215,83500,432538
2035,20210107,1220,83500,230244
2036,20210107,1225,83500,73011
2037,20210107,1230,83500,67430
2038,20210107,1235,83700,526830
2039,20210107,1240,83600,138036
2040,20210107,1245,83600,198508
2041,20210107,1250,83700,667578
2042,20210107,1255,83700,342258
2043,20210107,1300,83700,673889
2044,20210107,1305,83800,295160
2045,20210107,1310,83600,249539
2046,20210107,1315,83700,364920
2047,20210107,1320,83700,193026
2048,20210107,1325,83800,158951
2049,20210107,1330,83700,712048
2050,20210107,1335,84000,642120
2051,20210107,1340,83900,192729
2052,20210107,1345,84000,1427493
2053,20210107,1350,84000,452320
2054,20210107,1355,83900,313029
2055,20210107,1400,83700,441171
2056,20210107,1405,83600,577956
2057,20210107,1410,83600,485061
2058,20210107,1415,83500,751945
2059,20210107,1420,83600,250211
2060,20210107,1425,83600,216206
2061,20210107,1430,83700,270291
2062,20210107,1435,83500,670761
2063,20210107,1440,83700,226369
2064,20210107,1445,83800,344496
2065,20210107,1450,83800,280983
2066,20210107,1455,83600,353899
2067,20210107,1500,83600,301596
2068,20210107,1505,83700,291855
2069,20210107,1510,83600,531921
2070,20210107,1515,83500,325198
2071,20210107,1520,83400,702612
2072,20210107,1530,82900,2376284
2073,20210108,905,83500,2647268
2074,20210108,910,84000,1256122
2075,20210108,915,84300,1411502
2076,20210108,920,84900,1789327
2077,20210108,925,84700,722056
2078,20210108,930,84200,739816
2079,20210108,935,84100,984519
2080,20210108,940,84000,933190
2081,20210108,945,83800,900463
2082,20210108,950,84200,545112
2083,20210108,955,84000,461102
2084,20210108,1000,84000,321267
2085,20210108,1005,84000,383146
2086,20210108,1010,84100,226305
2087,20210108,1015,84200,344512
2088,20210108,1020,84100,263333
2089,20210108,1025,84000,436467
2090,20210108,1030,84000,552558
2091,20210108,1035,84200,378010
2092,20210108,1040,84200,227971
2093,20210108,1045,84100,209954
2094,20210108,1050,84400,380235
2095,20210108,1055,84200,239749
2096,20210108,1100,84200,249197
2097,20210108,1105,84000,291553
2098,20210108,1110,84200,345468
2099,20210108,1115,84400,402758
2100,20210108,1120,84400,107315
2101,20210108,1125,84400,337632
2102,20210108,1130,84500,177167
2103,20210108,1135,84600,370074
2104,20210108,1140,84500,348525
2105,20210108,1145,84700,352238
2106,20210108,1150,84700,219431
2107,20210108,1155,84600,353928
2108,20210108,1200,84400,425858
2109,20210108,1205,84500,309290
2110,20210108,1210,84500,144397
2111,20210108,1215,84400,138816
2112,20210108,1220,84600,203523
2113,20210108,1225,84600,306173
2114,20210108,1230,84600,179533
2115,20210108,1235,84700,415467
2116,20210108,1240,84700,291723
2117,20210108,1245,84700,265167
2118,20210108,1250,84800,394948
2119,20210108,1255,84900,235106
2120,20210108,1300,84900,226634
2121,20210108,1305,85100,1391232
2122,20210108,1310,85100,745702
2123,20210108,1315,85100,224319
2124,20210108,1320,85200,696067
2125,20210108,1325,85200,446692
2126,20210108,1330,85000,600929
2127,20210108,1335,84900,624344
2128,20210108,1340,85200,406786
2129,20210108,1345,85200,268705
2130,20210108,1350,85700,1190553
2131,20210108,1355,85600,790258
2132,20210108,1400,86000,814114
2133,20210108,1405,85900,886566
2134,20210108,1410,86000,608173
2135,20210108,1415,86400,1123103
2136,20210108,1420,87100,1200751
2137,20210108,1425,87400,1212568
2138,20210108,1430,88600,1890894
2139,20210108,1435,89200,3102951
2140,20210108,1440,88100,2617476
2141,20210108,1445,87800,1777595
2142,20210108,1450,88200,1169124
2143,20210108,1455,88400,922006
2144,20210108,1500,88800,1161356
2145,20210108,1505,89000,1547615
2146,20210108,1510,89500,1632316
2147,20210108,1515,89100,1591983
2148,20210108,1520,89100,1013321
2149,20210108,1530,88800,2416038
2150,20210111,905,91600,4556738
2151,20210111,910,94000,2445455
2152,20210111,915,93400,2766990
2153,20210111,920,92700,2604370
2154,20210111,925,92800,1457724
2155,20210111,930,92900,1137684
2156,20210111,935,93100,1622822
2157,20210111,940,93200,922333
2158,20210111,945,93100,695017
2159,20210111,950,92800,1613961
2160,20210111,955,93200,609113
2161,20210111,1000,93900,1413362
2162,20210111,1005,94200,1894252
2163,20210111,1010,94600,1551361
2164,20210111,1015,96500,2621250
2165,20210111,1020,95700,2238984
2166,20210111,1025,95800,1671785
2167,20210111,1030,96100,1234189
2168,20210111,1035,96300,909178
2169,20210111,1040,95300,1640241
2170,20210111,1045,95300,1234884
2171,20210111,1050,95100,1853847
2172,20210111,1055,94400,891404
2173,20210111,1100,93700,2201626
2174,20210111,1105,92400,2289612
2175,20210111,1110,93000,3449555
2176,20210111,1115,92600,2072071
2177,20210111,1120,92600,1659193
2178,20210111,1125,92200,1093727
2179,20210111,1130,92800,1120255
2180,20210111,1135,92800,661635
2181,20210111,1140,92100,733167
2182,20210111,1145,92300,756412
2183,20210111,1150,92900,673989
2184,20210111,1155,93200,784234
2185,20210111,1200,93500,709930
2186,20210111,1205,93500,944315
2187,20210111,1210,93200,746715
2188,20210111,1215,93000,436857
2189,20210111,1220,92700,560002
2190,20210111,1225,92800,544270
2191,20210111,1230,92300,633690
2192,20210111,1235,92700,696752
2193,20210111,1240,92500,348910
2194,20210111,1245,92500,691073
2195,20210111,1250,92200,422001
2196,20210111,1255,92800,472062
2197,20210111,1300,92200,351877
2198,20210111,1305,92200,428777
2199,20210111,1310,91700,1364429
2200,20210111,1315,90700,1732150
2201,20210111,1320,90700,1523274
2202,20210111,1325,90100,944944
2203,20210111,1330,90100,936413
2204,20210111,1335,91000,1019201
2205,20210111,1340,90800,655000
2206,20210111,1345,91300,567666
2207,20210111,1350,91100,1063394
2208,20210111,1355,90700,554947
2209,20210111,1400,91300,555109
2210,20210111,1405,91500,497060
2211,20210111,1410,92100,909176
2212,20210111,1415,92400,876248
2213,20210111,1420,92100,817668
2214,20210111,1425,91500,598748
2215,20210111,1430,92300,603863
2216,20210111,1435,92300,520479
2217,20210111,1440,91600,688716
2218,20210111,1445,91200,761265
2219,20210111,1450,90800,1147652
2220,20210111,1455,90800,567861
2221,20210111,1500,91100,509586
2222,20210111,1505,91700,478995
2223,20210111,1510,91400,783267
2224,20210111,1515,91200,770163
2225,20210111,1520,91600,673602
2226,20210111,1530,91000,2280979
2227,20210112,905,89900,4078250
2228,20210112,910,90500,1300797
2229,20210112,915,89800,1106489
2230,20210112,920,89700,816989
2231,20210112,925,89300,1294199
2232,20210112,930,89700,828878
2233,20210112,935,89900,715055
2234,20210112,940,90300,803443
2235,20210112,945,90400,809793
2236,20210112,950,90500,722160
2237,20210112,955,91200,717699
2238,20210112,1000,90600,947231
2239,20210112,1005,90500,320106
2240,20210112,1010,90800,600103
2241,20210112,1015,90800,493483
2242,20210112,1020,90600,349554
2243,20210112,1025,90200,442143
2244,20210112,1030,90200,324220
2245,20210112,1035,90200,412362
2246,20210112,1040,90100,223134
2247,20210112,1045,90300,825766
2248,20210112,1050,90300,238383
2249,20210112,1055,90400,178232
2250,20210112,1100,90400,212171
2251,20210112,1105,90500,334734
2252,20210112,1110,90600,294315
2253,20210112,1115,90200,285830
2254,20210112,1120,90300,197427
2255,20210112,1125,90300,278885
2256,20210112,1130,90300,243968
2257,20210112,1135,90300,223718
2258,20210112,1140,90200,189247
2259,20210112,1145,90100,192036
2260,20210112,1150,90100,235136
2261,20210112,1155,90100,131204
2262,20210112,1200,90100,122941
2263,20210112,1205,90100,130953
2264,20210112,1210,90200,443096
2265,20210112,1215,90000,454890
2266,20210112,1220,89800,411305
2267,20210112,1225,89600,782026
2268,20210112,1230,89800,463573
2269,20210112,1235,89400,877747
2270,20210112,1240,89400,381169
2271,20210112,1245,89600,654107
2272,20210112,1250,89300,424732
2273,20210112,1255,89000,816591
2274,20210112,1300,88900,1126972
2275,20210112,1305,89200,726192
2276,20210112,1310,89400,285384
2277,20210112,1315,89200,287148
2278,20210112,1320,89100,311655
2279,20210112,1325,88900,722401
